Word	Indices	GP sum	GP sum red header	Plaintext minus ciphertext	Plaintext plus ciphertext	Ciphertext_minus_plaintext
gravitas	[6, 4, 24, 1, 10, 16, 24, 15]	368	465	[16, 12, 1, 3, 8, 2, 14, 25]	[25, 25, 18, 28, 12, 1, 5, 5]	[13, 17, 28, 26, 21, 27, 15, 4]
graviton	[6, 4, 24, 1, 10, 16, 3, 9]	254	351	[16, 12, 1, 3, 8, 2, 22, 19]	[25, 25, 18, 28, 12, 1, 13, 28]	[13, 17, 28, 26, 21, 27, 7, 10]
grayback	[6, 4, 24, 26, 17, 24, 5, 5]	412	509	[16, 12, 1, 28, 15, 10, 24, 15]	[25, 25, 18, 24, 19, 9, 15, 24]	[13, 17, 28, 1, 14, 19, 5, 14]
graybeard	[6, 4, 24, 26, 17, 28, 4, 23]	498	595	[16, 12, 1, 28, 15, 14, 23, 4]	[25, 25, 18, 24, 19, 13, 14, 13]	[13, 17, 28, 1, 14, 15, 6, 25]
grayness	[6, 4, 24, 26, 9, 18, 15, 15]	430	527	[16, 12, 1, 28, 7, 4, 5, 25]	[25, 25, 18, 24, 11, 3, 25, 5]	[13, 17, 28, 1, 22, 25, 24, 4]
greatcoat	[6, 4, 28, 16, 5, 3, 24, 16]	372	469	[16, 12, 5, 18, 3, 18, 14, 26]	[25, 25, 22, 14, 7, 17, 5, 6]	[13, 17, 24, 11, 26, 11, 15, 3]
greatness	[6, 4, 28, 16, 9, 18, 15, 15]	398	495	[16, 12, 5, 18, 7, 4, 5, 25]	[25, 25, 22, 14, 11, 3, 25, 5]	[13, 17, 24, 11, 22, 25, 24, 4]
greegree	[6, 4, 18, 18, 6, 4, 18, 18]	324	421	[16, 12, 24, 20, 4, 19, 8, 28]	[25, 25, 12, 16, 8, 18, 28, 8]	[13, 17, 5, 9, 25, 10, 21, 1]
greenery	[6, 4, 18, 18, 9, 18, 4, 26]	372	469	[16, 12, 24, 20, 7, 4, 23, 7]	[25, 25, 12, 16, 11, 3, 14, 16]	[13, 17, 5, 9, 22, 25, 6, 22]
greeneye	[6, 4, 18, 18, 9, 18, 26, 18]	428	525	[16, 12, 24, 20, 7, 4, 16, 28]	[25, 25, 12, 16, 11, 3, 7, 8]	[13, 17, 5, 9, 22, 25, 13, 1]
greenfly	[6, 4, 18, 18, 9, 0, 20, 26]	369	466	[16, 12, 24, 20, 7, 15, 10, 7]	[25, 25, 12, 16, 11, 14, 1, 16]	[13, 17, 5, 9, 22, 14, 19, 22]
greengage	[6, 4, 18, 18, 21, 24, 6, 18]	422	519	[16, 12, 24, 20, 19, 10, 25, 28]	[25, 25, 12, 16, 23, 9, 16, 8]	[13, 17, 5, 9, 10, 19, 4, 1]
greening	[6, 4, 18, 18, 9, 10, 9, 6]	268	365	[16, 12, 24, 20, 7, 25, 28, 16]	[25, 25, 12, 16, 11, 24, 19, 25]	[13, 17, 5, 9, 22, 4, 1, 13]
greenway	[6, 4, 18, 18, 9, 7, 24, 26]	410	507	[16, 12, 24, 20, 7, 22, 14, 7]	[25, 25, 12, 16, 11, 21, 5, 16]	[13, 17, 5, 9, 22, 7, 15, 22]
greeting	[6, 4, 18, 18, 16, 10, 9, 6]	298	395	[16, 12, 24, 20, 14, 25, 28, 16]	[25, 25, 12, 16, 18, 24, 19, 25]	[13, 17, 5, 9, 15, 4, 1, 13]
greyback	[6, 4, 18, 26, 17, 24, 5, 5]	382	479	[16, 12, 24, 28, 15, 10, 24, 15]	[25, 25, 12, 24, 19, 9, 15, 24]	[13, 17, 5, 1, 14, 19, 5, 14]
greybeard	[6, 4, 18, 26, 17, 28, 4, 23]	468	565	[16, 12, 24, 28, 15, 14, 23, 4]	[25, 25, 12, 24, 19, 13, 14, 13]	[13, 17, 5, 1, 14, 15, 6, 25]
greyness	[6, 4, 18, 26, 9, 18, 15, 15]	400	497	[16, 12, 24, 28, 7, 4, 5, 25]	[25, 25, 12, 24, 11, 3, 25, 5]	[13, 17, 5, 1, 22, 25, 24, 4]
gridiron	[6, 4, 10, 23, 10, 4, 3, 9]	226	323	[16, 12, 16, 25, 8, 19, 22, 19]	[25, 25, 4, 21, 12, 18, 13, 28]	[13, 17, 13, 4, 21, 10, 7, 10]
gridlock	[6, 4, 10, 23, 20, 3, 5, 5]	254	351	[16, 12, 16, 25, 18, 18, 24, 15]	[25, 25, 4, 21, 22, 17, 15, 24]	[13, 17, 13, 4, 11, 11, 5, 14]
grilling	[6, 4, 10, 20, 20, 10, 9, 6]	282	379	[16, 12, 16, 22, 18, 25, 28, 16]	[25, 25, 4, 18, 22, 24, 19, 25]	[13, 17, 13, 7, 11, 4, 1, 13]
