Word;Indices;GP sum;GP sum red header;Plaintext minus ciphertext;Plaintext plus ciphertext;Ciphertext_minus_plaintext
Berkeley;[17, 18, 4, 5, 18, 20, 18, 26];462;559;[27, 26, 10, 7, 16, 6, 8, 7];[7, 10, 27, 3, 20, 5, 28, 16];[2, 3, 19, 22, 13, 23, 21, 22]
Berliner;[17, 18, 4, 20, 10, 9, 18, 4];350;447;[27, 26, 10, 22, 8, 24, 8, 14];[7, 10, 27, 18, 12, 23, 28, 23];[2, 3, 19, 7, 21, 5, 21, 15]
Bermudan;[17, 18, 4, 19, 1, 23, 24, 9];428;525;[27, 26, 10, 21, 28, 9, 14, 19];[7, 10, 27, 17, 3, 8, 5, 28];[2, 3, 19, 8, 1, 20, 15, 10]
Bermudas;[17, 18, 4, 19, 1, 23, 24, 15];452;549;[27, 26, 10, 21, 28, 9, 14, 25];[7, 10, 27, 17, 3, 8, 5, 5];[2, 3, 19, 8, 1, 20, 15, 4]
Bermudian;[17, 18, 4, 19, 1, 23, 27, 9];438;535;[27, 26, 10, 21, 28, 9, 17, 19];[7, 10, 27, 17, 3, 8, 8, 28];[2, 3, 19, 8, 1, 20, 12, 10]
Berteroa;[17, 18, 4, 16, 18, 4, 3, 24];380;477;[27, 26, 10, 18, 16, 19, 22, 5];[7, 10, 27, 14, 20, 18, 13, 14];[2, 3, 19, 11, 13, 10, 7, 24]
Bessemer;[17, 18, 15, 15, 18, 19, 18, 4];450;547;[27, 26, 21, 17, 16, 5, 8, 14];[7, 10, 9, 13, 20, 4, 28, 23];[2, 3, 8, 12, 13, 24, 21, 15]
Bethlehem;[17, 18, 2, 20, 18, 8, 18, 19];434;531;[27, 26, 8, 22, 16, 23, 8, 0];[7, 10, 25, 18, 20, 22, 28, 9];[2, 3, 21, 7, 13, 6, 21, 0]
Bettongia;[17, 18, 16, 16, 3, 21, 10, 24];460;557;[27, 26, 22, 18, 1, 7, 0, 5];[7, 10, 10, 14, 5, 6, 20, 14];[2, 3, 7, 11, 28, 22, 0, 24]
Bignonia;[17, 10, 6, 9, 3, 9, 10, 24];302;399;[27, 18, 12, 11, 1, 24, 0, 5];[7, 2, 0, 7, 5, 23, 20, 14];[2, 11, 17, 18, 28, 5, 0, 24]
Binghamton;[17, 21, 8, 24, 19, 16, 3, 9];426;523;[27, 0, 14, 26, 17, 2, 22, 19];[7, 13, 2, 22, 21, 1, 13, 28];[2, 0, 15, 3, 12, 27, 7, 10]
Birmingham;[17, 10, 4, 19, 21, 8, 24, 19];444;541;[27, 18, 10, 21, 19, 23, 14, 0];[7, 2, 27, 17, 23, 22, 5, 9];[2, 11, 19, 8, 10, 6, 15, 0]
Bismarck;[17, 10, 15, 19, 24, 4, 5, 5];350;447;[27, 18, 21, 21, 22, 19, 24, 15];[7, 2, 9, 17, 26, 18, 15, 24];[2, 11, 8, 8, 7, 10, 5, 14]
Bivalvia;[17, 10, 1, 24, 20, 1, 10, 24];396;493;[27, 18, 7, 26, 18, 16, 0, 5];[7, 2, 24, 22, 22, 15, 20, 14];[2, 11, 22, 3, 11, 13, 0, 24]
Blaberus;[17, 20, 24, 17, 18, 4, 1, 15];426;523;[27, 28, 1, 19, 16, 19, 20, 25];[7, 12, 18, 15, 20, 18, 11, 5];[2, 1, 28, 10, 13, 10, 9, 4]
Blantyre;[17, 20, 24, 9, 16, 26, 4, 18];500;597;[27, 28, 1, 11, 14, 12, 23, 28];[7, 12, 18, 7, 18, 11, 14, 8];[2, 1, 28, 18, 15, 17, 6, 1]
